Site,Title,URL,Summary
https://www.upstreamonline.com/,Woodside to sell key Trinidad and Tobago offshore assetsfinance,https://www.upstreamonline.com/finance/woodside-to-sell-key-trinidad-tobago-offshore-assets-to-perenco-in-206-million-deal/2-1-1799092,"upstream helps readers filter out the noise and zero in on what matters in the international energy industry . for nearly three decades, we have been the go-to source for independent news and analysis of the major oil and gas projects shaping the industry and the people behind them."
https://www.upstreamonline.com/,LNG,https://www.upstreamonline.com/lng,DN Media Group is responsible for controlling your data on upstream . from November 1st we use your data to ensure you have a secure and enjoyable user experience when visiting our site .
https://www.upstreamonline.com/,Shell to dump renewable energy assets in Brazilenergy transition,https://www.upstreamonline.com/energy-transition/shell-to-dump-renewable-energy-assets-in-brazil/2-1-1799423,"upstream helps readers filter out the noise and zero in on what matters in the international energy industry . for nearly three decades, we have been the go-to source for independent news and analysis of the major oil and gas projects shaping the industry and the people behind them."
https://www.rechargenews.com/,Offshore wind strikes gold in $100bn French grid pushgrid,https://www.rechargenews.com/grid/offshore-wind-strikes-gold-in-100bn-french-grid-push/2-1-1798890,"RTE's gigantic investment plan for the French grid will be reviewed annually to keep spending focus . we provide award-winning international coverage of breaking news, in-depth features and analysis across the wind and solar sectors ."
https://www.rechargenews.com/,Shell to dump renewable energy assets in Brazilenergy transition,https://www.rechargenews.com/energy-transition/shell-to-dump-renewable-energy-assets-in-brazil/2-1-1799175,"Recharge is the world’s leading business intelligence source for the renewable energy industries . we provide award-winning international coverage of breaking news, in-depth features and analysis across the wind and solar sectors ."
https://www.rechargenews.com/,Town files suit against Ocean Winds' SouthCoast in new US offshore wind challengewind,https://www.rechargenews.com/wind/nantucket-files-suit-against-ocean-winds-southcoast-in-latest-us-offshore-wind-challenge/2-1-1799001,"we provide award-winning international coverage of breaking news, in-depth features and analysis across the wind and solar sectors . learn about key energy issues as they happen and get industry insight from our experts ."
https://www.rechargenews.com/,Japanese giants form floating wind pact as EEZ beckonswind,https://www.rechargenews.com/wind/japanese-giants-in-floating-wind-pact-as-eez-beckons/2-1-1798733,"we provide award-winning international coverage of breaking news, in-depth features and analysis across the wind and solar sectors . learn about key energy issues as they happen and get industry insight from our experts ."
https://www.offshore-energy.biz/,offshoreWIND.biz,https://www.offshorewind.biz/,Summary not available.
https://www.offshore-energy.biz/,DMEC-led accelerator program opens first support call for offshore energy innovations,https://www.offshore-energy.biz/dmec-led-accelerator-program-opens-first-support-call-for-offshore-energy-innovations/,the initiative aims to support innovative companies in the north sea region . start-ups and small and medium-sized enterprises are now invited to apply for the first Support Call as part of the program . the deadline for submitting applications is April 5 .
https://www.offshore-energy.biz/,DMEC-led accelerator program opens first support call for offshore energy innovations1 day ago,https://www.offshore-energy.biz/dmec-led-accelerator-program-opens-first-support-call-for-offshore-energy-innovations/,the initiative aims to support innovative companies in the north sea region . start-ups and small and medium-sized enterprises are now invited to apply for the first Support Call as part of the program . the deadline for submitting applications is April 5 .
https://www.offshore-energy.biz/,"Equinor keeping Island Drilling, Archer, and Baker Hughes busy with multi-well P&A gigs",https://www.offshore-energy.biz/equinor-keeping-island-drilling-archer-and-baker-hughes-busy-with-multi-well-pa-gigs/,"the three-year contract with Island Drilling, worth an estimated $30 million, also entails five one-year options . the work will be carried out using the Island Innovator semi-submersible rig . subsea wells at Heidrun, Snorre, and Norne will be permanently plugged ."
https://www.offshore-energy.biz/,Offshore-Energy.biz,https://www.offshore-energy.biz/,the offshore energy magazine focuses on the maritime and offshore energy industries . the maritime industry cannot fulfil their ambitions without the expertise of the maritime sector .
https://www.offshore-energy.biz/,US player tasked with taking Alaskan LNG project to finish line1 day ago,https://www.offshore-energy.biz/us-player-tasked-with-taking-alaskan-lng-project-to-finish-line/,"Glenfarne is set to acquire AGDC’s 75% interest in 8 Star Alaska . this will enable the player to become the lead developer and spearhead all remaining development work of Alaska LNG from front-end engineering and design to a final investment decision (FID) the state of Alaska will stay on as a 25% partner in 8 star Alaska, but it will have the option to invest up to 25 % in any or all of the three subprojects "
https://www.offshore-energy.biz/,Transocean rig spuds first of ten gas wells in Black Sea drilling campaign,https://www.offshore-energy.biz/transocean-rig-spuds-first-of-ten-gas-wells-in-black-sea-drilling-campaign/,"the transocean barents semi-submersible rig arrived in Constanta in November 2024 to get ready for its 540-day contract, scheduled to begin in April 2025 . the rig embarked on its journey toward the drill site weeks ago ."
https://www.offshore-energy.biz/,Petronas kicking off LNG exports to Vietnam next month,https://www.offshore-energy.biz/petronas-kicking-off-lng-exports-to-vietnam-next-month/,"state-owned energy player Petronas has signed an agreement for the supply of liquefied natural gas (LNG) to Vietnam . a delegation visited its headquarters on March 26, 2025 to discuss options for promoting cooperation related to the gas and LNG value chain . the two sides also discussed potential cooperation opportunities to meet Vietnam’s growing energy needs ."
https://www.offshore-energy.biz/,MODEC gets its hands on 20-year FPSO job with Shell for Brazilian oil & gas development,https://www.offshore-energy.biz/modec-gets-its-hands-on-20-year-fpso-job-with-shell-for-brazilian-oil-gas-development/,"the FPSO Gato do Mato will be capable of producing 120,000 barrels of oil per day (bopd) and associated gas and water . the vessel will be moored at a water depth of approximately 2,000 meters, around 200 kilometers south of Rio de Janeiro . MODEC will be responsible for the design of the hull and all related topsides facilities ."
https://www.offshore-energy.biz/,Falkland Islands’ $1.4. billion oil project remains on track for FID in mid-2025,https://www.offshore-energy.biz/falkland-islands-1-4-billion-oil-project-remains-on-track-for-fid-in-mid-2025/,Israel’s Navitas Petroleum is still anticipating a final investment decision (FID) for Phase 1 of its giant oil project in the North Falkland Basin (NFB) in the aftermath of a cost hike . the company estimates Capex to first oil on Phase 1 to be around $1.4 billion and has entered into several front end engineering design agreements .
https://www.offshore-energy.biz/,"Hydraulics, mechanical or electrical: offshore engineering projects demand specialised equipment",https://www.offshore-energy.biz/hydraulics-mechanical-or-electrical-offshore-engineering-projects-demand-specialised-equipment/,"the Netherlands-based engineering and manufacturing company Draftec knows this only too well . draftec’s portfolio – of which approximately 90% is mobilised in the offshore energy sector – is notably diverse, ranging from single components to whole systems ."
https://www.offshore-energy.biz/,"Equinor keeping Island Drilling, Archer, and Baker Hughes busy with multi-well P&A gigs1 day ago",https://www.offshore-energy.biz/equinor-keeping-island-drilling-archer-and-baker-hughes-busy-with-multi-well-pa-gigs/,"the three-year contract with Island Drilling, worth an estimated $30 million, also entails five one-year options . the work will be carried out using the Island Innovator semi-submersible rig . subsea wells at Heidrun, Snorre, and Norne will be permanently plugged ."
https://www.offshore-energy.biz/,Shell presents gas & LNG as safe bets but keeps low carbon and renewable tools in play,https://www.offshore-energy.biz/shell-presents-gas-lng-as-safe-bets-but-keeps-low-carbon-and-renewable-tools-in-play/,"liquefied natural gas (LNG) is a golden ticket to the energy transition . it is poised to play a key role during the pivot to low-carbon and green energy sources . back in 2023, Shell presented its plan to invest $10–15 billion in low carbon energy solutions between 2023 and 2025 ."
https://www.offshore-energy.biz/,Canada throws its weight behind $4 billion hydro-powered floating LNG project,https://www.offshore-energy.biz/canada-throws-its-weight-behind-4-billion-hydro-powered-floating-lng-project/,"the government handpicked Cedar LNG to be on the receiving end of millions in support for a floating liquefied natural gas facility . the facility has a nameplate capacity of 3.3 million tonnes per annum (mtpa) in the traditional territory of the Haisla Nation . despite nearly a decade of ideological policy that has “stifled growth” in the sector, the united states is making a seismic shift in its policy approach"
https://www.offshore-energy.biz/,Dolphin Drilling gets new CFO as interim CEO is promoted to permanent position,https://www.offshore-energy.biz/dolphin-drilling-gets-new-cfo-as-interim-ceo-is-promoted-to-permanent-position/,a new chief executive officer (CFO) has been appointed effective immediately . he previously held the position of Chief Strategy Officer at Dolphin Drilling . the new CEO believes the market will see a consolidation going forward .
https://www.offshore-energy.biz/,US player tasked with taking Alaskan LNG project to finish line,https://www.offshore-energy.biz/us-player-tasked-with-taking-alaskan-lng-project-to-finish-line/,"Glenfarne is set to acquire AGDC’s 75% interest in 8 Star Alaska . this will enable the player to become the lead developer and spearhead all remaining development work of Alaska LNG from front-end engineering and design to a final investment decision (FID) the state of Alaska will stay on as a 25% partner in 8 star Alaska, but it will have the option to invest up to 25 % in any or all of the three subprojects "
https://www.offshore-energy.biz/,Additional 57 ports could be upgraded with LNG bunkering facilities by end of 2026,https://www.offshore-energy.biz/additional-57-ports-could-be-upgraded-with-lng-bunkering-facilities-by-end-of-2026/,"57 ports are expected to be upgraded with LNG bunkering facilities by the end of 2026 . a similar trend is observed in the newbuild orders currently comprising 1,037 vessels, reading 37.79% of the global orderbook . the average age of the bunkers is six years, with most units built in Chinese and South Korean yards ."
https://www.offshore-energy.biz/,"With phase 1 fully booked, Northern Lights partners take €662M FID for project expansion1 day ago",https://www.offshore-energy.biz/with-phase-1-fully-booked-northern-lights-partners-take-e662m-fid-for-project-expansion/,"northern lights joint venture (JV) partners Equinor, Shell and TotalEnergies have made a final investment decision . this will increase the project’s transport and storage capacity from 1.5 million to over 5 million tons of CO2 per year from 2028 . the first phase of the project is completed, fully booked and ready to receive CO2 from industrial emitters ."
https://www.offshore-energy.biz/,Management plan approved for Ørsted’s Australian offshore wind farms2 days ago,https://www.offshore-energy.biz/management-plan-approved-for-orsteds-australian-offshore-wind-farms/,the management plan details how activities will be safely carried out in compliance with the Offshore Electricity Infrastructure Act (OEI Act) rsted was one of the first companies to secure a feasibility license for wind projects proposed to be built offshore . the project sites have the potential to generate 4.8 GW of renewable energy .
https://www.offshore-energy.biz/,Offshore wind,https://www.offshore-energy.biz/markets/offshore-wind/,Summary not available.
https://www.offshore-energy.biz/,Shell picks McDermott to provide ‘full suite of offerings’ for its portfolio,https://www.offshore-energy.biz/shell-picks-mcdermott-to-provide-full-suite-of-offerings-for-its-portfolio/,"u.s. offshore engineering and construction player McDermott has secured an enterprise framework agreement (EFA) with the UK-headquartered energy giant Shell . under the three-year agreement, it is set to provide the full suite of its offerings across its low-carbon solutions, offshore Middle East, and subsea and floating facilities business lines ."
https://gcaptain.com/,Russia’s First Domestically Constructed LNG Carrier Faces Delays as Sea Trials Drag On,https://gcaptain.com/russias-first-domestically-constructed-lng-carrier-faces-delays-as-sea-trials-drag-on/,the arc7 ice-class LNG tanker has yet to complete sea and mooring trials . the delays put a damper on Russia’s plans to accelerate domestic construction of critically needed LNG carriers and oil tankers .
https://www.oedigital.com/,LNG,https://www.oedigital.com/energy/lng,"the $4 billion project made a positive Final Investment Decision (FID) in June 2024, making Canada’s first Indigenous majority-owned liquefied natural gas (LNG) facility a reality . the company has signed a 15-year agreement for 1.5 million tons of u.s. LNG per annum, the companies said on Tuesday ."
https://www.oedigital.com/,BP Mulls Shedding two US Offshore Stakes,https://www.oedigital.com/news/523942-bp-mulls-shedding-two-us-offshore-stakes,"potential divestments could involve selling up to 50% of each project, sources say . BP is now open to bringing in partners for Kaskida and Tiber . the move comes as BP retreats from earlier pivot toward clean energy ."
https://www.oedigital.com/,ADNOC’s XRG Acquires Galp's Share in Mozambique Offshore Block,https://www.oedigital.com/news/524020-adnoc-s-xrg-acquires-galp-s-share-in-mozambique-offshore-block,XRG has completed the acquisition of Galp's 10% interest in the area 4 concession in mozambique's Rovuma Basin . this acquisition entails stakes in the operational Coral South Floating LNG (FLNG) and the planned Coral North FLNG . the onshore project is expected to complete its front-end engineering design phase in 2025 .
https://www.oedigital.com/,Drilling,https://www.oedigital.com/drilling,"BP is exploring the sale of minority stakes in two of its most valuable Gulf of Mexico oil projects . the well 35/6-6, dubbed Horatio, is located in production license 1109, operated by OMV with 30% working interest ."
https://www.oedigital.com/,India Mulls Cutting US LNG Import Tax,https://www.oedigital.com/news/524017-india-mulls-cutting-us-lng-import-tax,the united states is India's second biggest supplier . the two sides are looking to ramp up volumes for india's energy-hungry economy . china's 15% import tax could divert trade of the super-chilled fuel to India .
https://www.oedigital.com/,Offshore,https://www.oedigital.com/offshore,"the sale includes the Greater Angostura project's offshore production facilities, but excludes assets in the deepwater Calypso field . BP is exploring the sale of minority stakes in two of its most valuable Gulf of Mexico oil projects — Kaskida and Tiber ."
https://www.oedigital.com/,Offshore Engineer TV,https://www.oedigital.com/t/video,"the first of the planned 10 production wells is now being drilled in the Black Sea . the floating production, storage, and offloading unit Almirante Tamandaré has started production at Petrobras’ Bzios field, offshore Brazil . this is the first high-capacity unit to be installed in the field, with the potential to produce up to 225..."
https://www.oedigital.com/,‘Ultra-Mega’ Offshore Deal for L&T at QatarEnergy LNG’s...,https://www.oedigital.com/news/523953-ultra-mega-offshore-deal-for-l-t-at-qatarenergy-lng-s-north-field-gas-scheme,"the contract is for the North Field Production Sustainability Offshore Compression Project (NFPS COMP 4) the deal has been described as ultra-mega by the L&T, which means it is valued over $1.8 billion . the scope of work encompasses the engineering, procurement, fabrication, installation, and commissioning of two offshore compression complexes ."
https://www.oedigital.com/,Floatel Victory Flotel to Stay with Equinor Offshore...,https://www.oedigital.com/news/523969-floatel-victory-flotel-to-stay-with-equinor-offshore-brazil,"Floatel Victory is a semi-submersible accommodation and construction support vessel . the 123 meters long, 79 meters wide vessel can accommodate 560 people in one and two-bed cabins . a telescopic capability of +/- 7.5 m allows the vessel to remain connected in severe weather ."
https://www.oedigital.com/,HSM Offshore Rolls Out Substation for Windanker Offshore...,https://www.oedigital.com/news/523957-hsm-offshore-rolls-out-substation-for-windanker-offshore-wind-farm,"the jasmund substation will have a planned capacity of 300 MW . it will provide enough green energy to power 260,000 households . the OSS topside measures 48 by 33 by 17,5 meters and weighs around 4,500 metric tonnes ."
https://www.oedigital.com/,FLNG,https://www.oedigital.com/vessels/flng,"the government of Canada has supported the $4 billion Cedar LNG project with up to $140 million as part the strategic agreement under the Strategic Innovation Fund (SIF) . Golar LNG has entered into finance lease agreements with a consortium of Chinese leasing companies for the refinancing of the existing debt facility for its floating liquefied natural gas (FLNG) unit Gimi . Egypt, which has struggled with declining domestic gas production, plans to lease a German floating"
https://www.oedigital.com/,"Bardex Corporation, Gabriel Engineering Partner Up for Floating Wind Moorings",https://www.oedigital.com/news/524035-bardex-corporation-gabriel-engineering-partner-up-for-floating-wind-moorings,"bardex, headquartered in goleta, California, opened its U.K. subsidiary, Bardex Energy UK, in Newcastle in January 2025 . the partnership will investigate development of a U.k. production facility for anchor, mooring, and 'jewellery' (precision component) systems ."
https://www.oedigital.com/,Japanese Industry Partners Team Up for Floating Wind...,https://www.oedigital.com/news/523959-japanese-industry-partners-team-up-for-floating-wind-commercialization,"a memorandum of understanding has been signed by Kanadevia, Taisei, and Mitsui O.S.K. Lines . the project is to create a forum for the study of construction methods that reduce costs and risks . it follows the seventh Strategic Energy Plan approved by the cabinet on February 18, 2025 ."
https://www.oedigital.com/,Salamander Floating Wind Farm Marks Consenting Progress,https://www.oedigital.com/news/524031-salamander-floating-wind-farm-marks-consenting-progress,"Salamander offshore wind farm is being developed by a joint venture between rsted, Simply Blue Group and Subsea7 . the proposed wind farm would have 100 MW capacity . a second application for the wind farm’s energy balancing infrastructure has now been validated ."
https://www.oedigital.com/,"Equinor, Shell, TotalEnergies Invest $712M for Northern...",https://www.oedigital.com/news/523974-equinor-shell-totalenergies-invest-712m-for-northern-lights-ccs-expansion,"the decision was made after signing a commercial agreement with Stockholm Exergi to transport and store 900.000 tonnes of biogenic CO2 annually for 15 years . the investment by the Northern Lights joint venture owners Equinor, Shell and TotalEnergies is $712.3 million . this includes the award of $141.3 million from the Connecting Europe Facility funding scheme approved by the European Commission last year ."
https://www.oedigital.com/,Offshore Drilling News,https://www.oedigital.com/offshore-drilling-news,"Offshore drilling contractor Transocean is in talks to merge with rival Seadrill . a final decision has not been made and the companies could choose to remain independent, it said . the firm term of the contract is approximately two years, and is scheduled to begin in December 2024 ."
https://www.oedigital.com/,Floating Wind,https://www.oedigital.com/floating-wind,"the partnership will investigate development of a U... Kanadevia Corporation, Taisei Corporation, and Mitsui O.S.K. Lines (MOL) have signed a memorandum of understanding (MoU) to collaborate on the commercialization of floating offshore wind power generation . Britain will invest 55.7 million pounds ($71.45 million) in the port of Cromarty Firth in Scotland ."
https://www.oedigital.com/,Pipelay Vessel,https://www.oedigital.com/vessels/pipelay-vessel,italian offshore services firm Saipem has secured $1.8 billion worth of contracts with Brazil’s state-owned energy giant Petrobras . the company has secured contracts for subsea services and six pipe-laying support vessels (PLSVs) . it is the first time a marine construction vessel in its class has achieved sustainability certification .
https://www.oedigital.com/,CIP Orders Vestas Offshore Wind Turbines for 495MW Taiwanese Project,https://www.oedigital.com/news/524042-cip-orders-vestas-offshore-wind-turbines-for-495mw-taiwanese-project,Danish wind turbine maker Vestas has secured an order from Copenhagen Infrastructure Partners . the order includes 33 V236-15.0 MW turbines as well as a long-term comprehensive service agreement . construction of the Fengmiao I offshore wind farm is scheduled to be completed by the end of 2027 .
https://www.oedigital.com/,Shell Selects McDermott for Engineering and Procurement...,https://www.oedigital.com/news/523919-shell-selects-mcdermott-for-engineering-and-procurement-services,"the agreement has a duration of three years with two one-year optional extensions . the scope of the agreement encompasses the full suite of McDermott's offerings across its low-carbon solutions, offshore Middle East and subsea and Floating Facilities business lines ."
https://www.oedigital.com/,Subscribe to Offshore Engineer,https://subscribe.oedigital.com/Subscribe/,Summary not available.
https://www.oedigital.com/,Drilling Hardware,https://www.oedigital.com/drilling/drilling-hardware,"jackup operator Shelf Drilling has been awarded a three-year contract for work on the Mumbai high . the contract is for the C.E. Thornton jack-up rig, with planned start-up of operations is Q2 2023 . oilfield equipment supplier national oilwell Varco called the coronavirus a 'wildcard'"
https://www.oedigital.com/,First Turbine Stands Tall at RWE’s Sofia Offshore Wind Farm,https://www.oedigital.com/news/524039-first-turbine-stands-tall-at-rwe-s-sofia-offshore-wind-farm,"wind peak, from Cadeler, arrived at the offshore site for the first time during the weekend of March 22 . the wind peak will carry and install six sets of the latest SG 14-222 wind turbines . each wind turbine stands over 252 meters above sea level, with blades of 108 meters sweeping an area of 39,000 square meters ."
https://www.oedigital.com/,Dolphin Drilling Appoints Permanent CEO and CFO,https://www.oedigital.com/news/524024-dolphin-drilling-appoints-permanent-ceo-and-cfo,Jon Oliver Bryce appointed as permanent chief executive officer (CEO) and Ingolf Gillesdal as chief financial officer (CFO) he has been the company’s chief strategy officer since November 2023 and interim CEO since January .
https://www.oedigital.com/,Offshore News,https://www.oedigital.com/offshore-news,"the XolarSurf prototype floater was lifted and launched at sea at Kystteknikk's facilities in Dyrvik . the project is part of a joint effort by Saipem, Moss Maritime, and Equinor . it will remain under trials for about one year ."
