Title,URL,Summary
"Cerulean Adds Ocean Installer to Aspen Floating Wind Team
14 days ago",https://www.offshorewind.biz/2025/03/11/cerulean-adds-ocean-installer-to-aspen-floating-wind-team/,Summary not available
"Vena Energy Plans USD 200 Million Investment in 384 MW Offshore Wind Project in South Korea
13 hours ago",https://www.offshorewind.biz/2025/03/25/vena-energy-plans-usd-200-million-investment-in-384-mw-offshore-wind-project-in-south-korea/,Summary not available
"Greater Changhua 2b & 4 Offshore Substation Installed
1 day ago",https://www.offshorewind.biz/2025/03/24/greater-changhua-2b-4-offshore-substation-installed/,Summary not available
"First Jacket In at 300 MW Taiwanese Offshore Wind Farm
4 days ago",https://www.offshorewind.biz/2025/03/21/first-jacket-in-at-300-mw-taiwanese-offshore-wind-farm/,Summary not available
Greater Changhua 2b & 4 Offshore Substation Installed,https://www.offshorewind.biz/2025/03/24/greater-changhua-2b-4-offshore-substation-installed/,Summary not available
LS Cable & System Subsidiaries to Focus on Offshore Wind,https://www.offshorewind.biz/2025/03/24/ls-cable-system-subsidiaries-to-focus-on-offshore-wind/,Summary not available
"1.2 GW Polish Offshore Wind Farm Receives Design Conformity Certificates
14 hours ago",https://www.offshorewind.biz/2025/03/25/1-2-gw-polish-offshore-wind-farm-receives-design-conformity-certificates/,Summary not available
"Japan’s FLOWRA and UK’s ORE Catapult Sign Floating Offshore Wind Agreement
15 days ago",https://www.offshorewind.biz/2025/03/10/japans-flowra-and-uks-ore-catapult-sign-floating-offshore-wind-agreement/,Summary not available
Guernsey Looking Into Offshore Wind Seabed Leasing,https://www.offshorewind.biz/2025/03/24/guernsey-looking-into-offshore-wind-seabed-leasing/,Summary not available
France Kicks Off Consultation for AO10 Offshore Wind Tender,https://www.offshorewind.biz/2025/03/24/france-kicks-off-consultation-for-ao10-offshore-wind-tender/,Summary not available
Deep Wind Offshore Brings Local Partner Onboard South Korean Projects,https://www.offshorewind.biz/2025/03/25/deep-wind-offshore-brings-local-partner-onboard-south-korean-projects/,Summary not available
1.2 GW Polish Offshore Wind Farm Receives Design Conformity Certificates,https://www.offshorewind.biz/2025/03/25/1-2-gw-polish-offshore-wind-farm-receives-design-conformity-certificates/,Summary not available
"WTIV Wind Peak On Its Way to Sofia Offshore Wind Farm Site to Install First Turbines
4 days ago",https://www.offshorewind.biz/2025/03/21/wtiv-wind-peak-on-its-way-to-sofia-offshore-wind-farm-site-to-install-first-turbines/,Summary not available
NEW Gone with the Wind: Overcoming Europe’s Offshore Project Obstacles,https://www.offshorewind.biz/2025/03/20/gone-with-the-wind-overcoming-europes-offshore-project-obstacles/,Summary not available
‘Pragmatic’ offshore energy investment policy key to ensure UK’s supply chain stays put,https://www.offshore-energy.biz/pragmatic-offshore-energy-investment-policy-key-to-ensure-uks-supply-chain-stays-put/,Summary not available
Offshore-Energy.biz,https://www.offshore-energy.biz/,Summary not available
Offshore Technology Conference (OTC),https://www.offshore-energy.biz/events/offshore-technology-conference-otc-2/,Summary not available
Transocean rig spuds first of ten gas wells in Black Sea drilling campaign,https://www.offshore-energy.biz/transocean-rig-spuds-first-of-ten-gas-wells-in-black-sea-drilling-campaign/,Summary not available
Offshore Energy Magazine,https://www.offshore-energy.biz/offshore-energy-magazine/,Summary not available
"Oil & gas drilling adds another hydrocarbon find to Petrobras’ Brazilian arsenal
16 hours ago",https://www.offshore-energy.biz/oil-gas-drilling-adds-another-hydrocarbon-find-to-petrobras-brazilian-arsenal/,Summary not available
offshoreWIND.biz,https://www.offshorewind.biz/,Summary not available
MODEC gets its hands on 20-year FPSO job with Shell for Brazilian oil & gas development,https://www.offshore-energy.biz/modec-gets-its-hands-on-20-year-fpso-job-with-shell-for-brazilian-oil-gas-development/,Summary not available
Canada throws its weight behind $4 billion hydro-powered floating LNG project,https://www.offshore-energy.biz/canada-throws-its-weight-behind-4-billion-hydro-powered-floating-lng-project/,Summary not available
ExxonMobil books New Wave Offshore for work on its $12.7B oil project in Guyana,https://www.offshore-energy.biz/exxonmobil-books-new-wave-offshore-for-work-on-its-12-7b-oil-project-in-guyana/,Summary not available
Read the Offshore Energy Magazine,https://www.offshore-energy.biz/offshore-energy-magazine/,Summary not available
US gives the go-ahead for Venture Global’s proposed $28 billion LNG export project in Louisiana,https://www.offshore-energy.biz/us-gives-the-go-ahead-for-venture-globals-proposed-28-billion-lng-export-project-in-louisiana/,Summary not available
Court changes its mind: Construction of American LNG project emerging out of legal woods,https://www.offshore-energy.biz/court-changes-its-mind-construction-of-american-lng-project-emerging-out-of-legal-woods/,Summary not available
"Hydraulics, mechanical or electrical: offshore engineering projects demand specialised equipment",https://www.offshore-energy.biz/hydraulics-mechanical-or-electrical-offshore-engineering-projects-demand-specialised-equipment/,Summary not available
Falkland Islands’ $1.4. billion oil project remains on track for FID in mid-2025,https://www.offshore-energy.biz/falkland-islands-1-4-billion-oil-project-remains-on-track-for-fid-in-mid-2025/,Summary not available
OFFSHORE,https://gcaptain.com/category/offshore-news/,Summary not available
Sea1 Offshore Orders Two More Offshore Energy Support Vessels,https://www.oedigital.com/news/523866-sea1-offshore-orders-two-more-offshore-energy-support-vessels,Summary not available
Shell Makes FID for Deepwater Gato do Mato Project off Brazil,https://www.oedigital.com/news/523773-shell-makes-fid-for-deepwater-gato-do-mato-project-off-brazil,Summary not available
Offshore Engineer TV,https://www.oedigital.com/t/video,Summary not available
Offshore Wind,https://www.oedigital.com/offshore-wind,Summary not available
"Hellenic Cables, Asso.subsea Get Dunkerque Offshore Wind...",https://www.oedigital.com/news/523771-hellenic-cables-asso-subsea-get-dunkerque-offshore-wind-farm-s-cabling-job,Summary not available
Pacific Offshore Wind Offshore 2025,https://www.oedigital.com/events/pacific-offshore-wind-offshore-2025-10536,Summary not available
Marubeni takes a 25% Stake in Windward Offshore,https://www.oedigital.com/news/523877-marubeni-takes-a-25-stake-in-windward-offshore,Summary not available
Canada Backs Cedar LNG Project with up to $140M Investment,https://www.oedigital.com/news/523803-canada-backs-cedar-lng-project-with-up-to-140m-investment,Summary not available
Offshore Survey,https://www.oedigital.com/offshore-survey,Summary not available
Shell Makes FID for Deepwater Gato do Mato Project off...,https://www.oedigital.com/news/523773-shell-makes-fid-for-deepwater-gato-do-mato-project-off-brazil,Summary not available
Offshore News,https://www.oedigital.com/offshore-news,Summary not available
Golar LNG Brings In Chinese Investors for FLNG Gimi...,https://www.oedigital.com/news/523767-golar-lng-brings-in-chinese-investors-for-flng-gimi-refinancing,Summary not available
Offshore Engineer (Jan/Feb 2025),https://offshoreengineer.oedigital.com/magazine/issue/202501/,Summary not available
Glamox to Light Denmark’s Largest Offshore Wind Farm,https://www.oedigital.com/news/523807-glamox-to-light-denmark-s-largest-offshore-wind-farm,Summary not available
Nexans to Supply Subsea Cables for Three French Offshore...,https://www.oedigital.com/news/523854-nexans-to-supply-subsea-cables-for-three-french-offshore-wind-farms,Summary not available
"Delfin LNG, SEFE ink 15-year LNG Supply Deal",https://www.oedigital.com/news/523880-delfin-lng-sefe-ink-15-year-lng-supply-deal,Summary not available
Offshore Drilling News,https://www.oedigital.com/offshore-drilling-news,Summary not available
Sea Lion Offshore Oil Project in Falkland Islands Targets...,https://www.oedigital.com/news/523815-sea-lion-offshore-oil-project-in-falkland-islands-targets-fid-in-mid-2025,Summary not available
Subscribe to Offshore Engineer,https://subscribe.oedigital.com/Subscribe/,Summary not available
BOS Princess Becomes Geotechnical Drilling Vessel,https://www.oedigital.com/news/523868-bos-princess-becomes-geotechnical-drilling-vessel,Summary not available
Deep Wind Offshore Finds Local Partner for Korean Offshore...,https://www.oedigital.com/news/523862-deep-wind-offshore-finds-local-partner-for-korean-offshore-wind-projects,Summary not available
Palfinger to Equip Polish Offshore Wind Farms with...,https://www.oedigital.com/news/523812-palfinger-to-equip-polish-offshore-wind-farms-with-platform-cranes,Summary not available
DRILLING,https://www.oedigital.com/drilling,Summary not available
Delfin Receives MARAD Approval for FLNG Export Terminal in U.S. Gulf,https://maritime-executive.com/article/delfin-receives-marad-approval-for-flng-export-terminal-in-u-s-gulf,Summary not available
Vattenfall Approves Construction of Germany’s Largest Offshore Wind Farm,https://maritime-executive.com/article/vattenfall-approves-construction-of-germany-s-largest-offshore-wind-farm,Summary not available
OFFSHORE,https://maritime-executive.com/offshore-news,Summary not available
Trump's EPA Withdraws Permit from Proposed NJ Offshore Wind Farm,https://maritime-executive.com/article/trump-s-epa-withdraws-permit-from-proposed-nj-offshore-wind-farm,Summary not available
"25 Mar 2025
Delfin LNG, SEFE ink 15-year LNG Supply Deal
Delfin LNG and German company Securing Energy For Europe (SEFE) have signed a 15…",https://www.marinelink.com/news/delfin-lng-sefe-ink-year-lng-supply-deal-523880,Summary not available
"25 Mar 2025
BOS Princess Becomes Geotechnical Drilling Vessel
Seas Geosciences has completed the conversion of the BOS Princess into a multipurpose geotechnical drilling vessel that is now ready to serve the global offshore energy industry.With its 80-metre length and close to 19-metre beam, the BOS Princess…",https://www.marinelink.com/news/bos-princess-becomes-geotechnical-523868,Summary not available
"Marubeni takes a 25% Stake in Windward Offshore
Windward Offshore has established a partnership with Marubeni Corporation.",https://www.marinelink.com/news/marubeni-takes-a-stake-windward-offshore-523877,Summary not available
"Keel Laying for Wind Flyer Trimaran Crew Boat
Aesen, in partnership with its Thailand joint venture Uniwise Offshore…",https://www.marinelink.com/news/keel-laying-wind-flyer-trimaran-crew-boat-523886,Summary not available
OFFSHORE,https://www.marinelink.com/news/maritime/offshore,Summary not available
"25 Mar 2025
Sea1 Offshore Orders Two More Offshore Energy Support Vessels",https://www.marinelink.com/news/sea-offshore-orders-two-offshore-energy-523866,Summary not available
Affinity LNG moves into Dubai as it expands with new faces,https://www.tradewindsnews.com/gas/affinity-lng-moves-into-dubai-as-it-expands-with-new-faces/2-1-1796228,Summary not available
Energy major Shell plans LNG sales boost to the end of the decade,https://www.tradewindsnews.com/gas/energy-major-shell-plans-lng-sales-boost-to-the-end-of-the-decade/2-1-1797120,Summary not available
"BDI (Points): 1,642VLCC Spot ($/day): 43,400LNG ($/day): 17,000SING ($/mt): 512See more at Tradewinds Markets",https://www.tradewindsnews.com/markets/,Summary not available
Golar LNG snags $1.2bn refinancing deal from Chinese consortium for FLNG unit,https://www.tradewindsnews.com/gas/golar-lng-snags-1-2bn-refinancing-deal-from-chinese-consortium-for-flng-unit/2-1-1795534,Summary not available
Christen Sveaas-backed Sea1 Offshore adds two methanol-ready newbuildings at Cosco,https://www.tradewindsnews.com/offshore/christen-sveaas-backed-sea1-offshore-adds-two-methanol-ready-newbuildings-at-cosco-shipping/2-1-1797155,Summary not available
Bulker-LNG carrier collision prompts Gibraltar to review pilotage needs,https://www.tradewindsnews.com/gas/bulker-lng-carrier-collision-prompts-gibraltar-to-review-pilotage-needs/2-1-1795333,Summary not available
Christen Sveaas-backed Sea1 Offshore adds two methanol-ready newbuildings at Cosco,https://www.tradewindsnews.com/offshore/christen-sveaas-backed-sea1-offshore-adds-two-methanol-ready-newbuildings-at-cosco/2-1-1797155,Summary not available
Offshore,https://www.tradewindsnews.com/offshore,Summary not available
